Crop / Product,_,STAGE,Main loss (what exactly happens),Secondary loss (what exactly happens),Studied logistics period,Loss %,Study area LOCAL,Study area GLOBAL,Mechanism,Key Quantitative Finding / Parameter,Context / Notes,Reference With Verifiable DOI Links,Journal quantile,Article year
General,Flood damage to roads/bridges,Road condition → transport delay,Flood exposure disrupts rural roads,Infrastructure disruption blocks market access,N/A,N/A,Nigeria,West Africa,Flooding,Flooding disrupts rural transport access,FAO case studies in Nigerian agrarian communities,FAO Climate impacts openknowledge.fao​,N/A (FAO report),N/A
General,Poor road conditions,Transport conditions → postharvest losses,Network quality degradation,Higher transport delays/costs,N/A,N/A,Africa,Africa,Infrastructure assessment,Poor roads → higher transport delays/costs,World Bank logistics indicators,World Bank Connectivity pmc.ncbi.nlm.nih​,N/A (World Bank),2025
General,Poor handling during transport,Transport conditions → postharvest losses,Bruising from poor transport,Quality deterioration,N/A,N/A,Developing countries,Global South,Literature review,Poor transport causes bruising/quality loss,FAO/PMC transport loss review,PMC11202419,N/A (review),2024
General,Vibration exposure,Transport conditions → postharvest losses,Frequency-induced fruit damage,Damage index increase,30 minutes,N/A,Iran,Middle East,Laboratory experiment,Max damage at 17 Hz (p<0.01),Keshavarzpour lab study,10.17221/12/2019-RAE,N/A,2019
Tomato,Transport distance/time,Transport conditions → postharvest losses,Firmness decline,Weight loss,Field transport (distance-based),N/A,Oman,Middle East,Field experiment,R²=0.84–0.99 distance vs quality loss,Al-Dairi transport study,10.1111/jfpe.13808 onlinelibrary.wiley​,Q2 ,2021
General,Vibration exposure,Transport conditions → postharvest losses,Vibration-induced bruising,Packaging failure,N/A,N/A,Global,Global,Literature review,Vibration major cause of mechanical damage,Trends in Food Science review,10.1016/j.tifs.2022.04.018,Q1,2022
Apple,Vibration exposure,Transport conditions → postharvest losses,Vibration exposure damage,Loss scenarios,Simulated routes,10-25%,Europe,Europe,Simulation modeling,Transport losses 10–25%,Apple transport modeling,10.1016/j.postharvbio.2017.11.019,Q1,2018
General,Logistics gaps,Postharvest losses → supply reduction,Food loss in logistics chain,Storage gaps,N/A,37%,Africa,Africa,Food system analysis,37% food lost due to logistics/storage,World Bank food systems,World Bank report,N/A (World Bank),2025
General,Supply disruptions,Postharvest losses → supply reduction,Food supply reduction,Price inflation,N/A,N/A,Global,Global,Econometric analysis,Supply shocks → food price increases,IMF: income growth dominant driver,IMF WP/2024/188 elibrary.imf​,N/A (IMF),2024
General,Price inflation,Price shocks → food insecurity,Food price spikes,Food security index decline,N/A,N/A,Global,Global,Econometric analysis,Food inflation elasticity -0.06pp,IMF: GDP growth > inflation effect,IMF WP/2024/188 elibrary.imf​,N/A (IMF),2024
