hazard_type,road_type,raw_input,derived_variable,unit,temporal_scale,curve_type,onset_value,saturation_value,impact_metrics,assumptions,source_reference,confidence_level
extreme_rainfall_operational,paved,"CHIRPS daily precipitation, ERA5/IMERG/hourly precipitation if available; weekly CHIRPS only as antecedent wetness/context.","event rainfall intensity I_event; if only CHIRPS daily is available, use P_max_daily and an explicitly calibrated storm-duration proxy I_proxy=P_max_daily/tau_event.",mm/h preferred; mm/day only for daily proxy,event or daily maximum; do not use weekly sum as intensity,piecewise/logistic operational penalty,"6.35 mm/h for heavy-rain operational effect; mark as external operational threshold, not structural failure.",20–30 mm/h approximation for strong operational degradation; cap by local calibration unless flood depth is modeled.,speed_reduction_pct; capacity_reduction_pct; travel_time_multiplier,No direct asset damage from rain intensity alone on paved roads unless drainage/flooding/erosion is also represented. Weekly mm/week must not trigger mm/h thresholds.,S2_CHIRPS_daily: https://developers.google.com/earth-engine/datasets/catalog/UCSB-CHG_CHIRPS_DAILY; S8_Tsapakis_2013_weather_travel_time: https://www.sciencedirect.com/science/article/pii/S0966692312002694; S9_Chung_2012_weather_capacity: https://www.sciencedirect.com/science/article/abs/pii/S0967070X11001144,medium for operational speed/capacity; low for direct damage
extreme_rainfall_erosion,unpaved,CHIRPS daily precipitation or hourly/event rainfall; road surface class; slope; soil/erodibility; drainage; traffic loading; antecedent soil moisture.,"unpaved erosion/impassability index = f(I_event or P_max_daily, slope, erodibility, drainage, traffic, soil moisture).",dimensionless index; component rainfall in mm/h or mm/day,event shock plus 1–7 day recovery window,continuous degradation; logistic closure probability only after local calibration,local P75–P90 event rainfall or any post-dry-season rainfall when surface is loose; no universal hard threshold.,local P99–P99.9 event rainfall or observed washout/closure events; do not hard-code 3–10 mm event thresholds without field validation.,speed_reduction_pct; vibration_index; damage_ratio_pct; road_closure_probability; recovery_days,"Unpaved damage is controlled by rainfall intensity plus slope, soil, drainage and traffic. Use weekly rainfall only for antecedent wetness, not event severity.",S2_CHIRPS_daily: https://developers.google.com/earth-engine/datasets/catalog/UCSB-CHG_CHIRPS_DAILY; S11_FAO_drainage_design: https://www.fao.org/4/t0099e/t0099e04.htm; S12_FAO_protective_measures: https://www.fao.org/4/T0099E/T0099e01.htm; S15_Unpaved_road_erosion_2024: https://bioone.org/journals/air-soil-and-water-research/volume-17/issue-1/11786221241272396/Erosion-Mechanisms-in-Unpaved-Roads--Effects-of-Slope-Rainfall/10.1177/11786221241272396.full,low-medium; requires local calibration
flood_depth,paved,Hydraulic flood-depth raster or DEM-derived depth product; GFM flood extent alone is not sufficient for this row.,standing water depth on/around road segment.,m,event depth plus duration/recession,hybrid: depth-disruption speed curve plus depth-damage fragility curve,operational speed penalty can begin with shallow water; use 0.25 m as direct-damage/hazard-band onset from Koks hazard classes; 0.30 m as passenger-car closure/safety criterion if adopted.,1.5 m is the upper calibration range in Koks Supplementary Fig. 2 fragility curves; >2.0 m is extreme flood class.,speed_reduction_pct; road_closure_probability; damage_ratio_pct; recovery_days,Separate operational closure from asset damage. Pregnolato-type curves are for speed/disruption; Koks/Espinet-type fragility is for direct damage.,S1_Koks_2019_Nature: https://www.nature.com/articles/s41467-019-10442-3; S1b_Koks_2019_supplement: https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-019-10442-3/MediaObjects/41467_2019_10442_MOESM1_ESM.pdf; S4_Pregnolato_2017_flood_depth_disruption: https://www.sciencedirect.com/science/article/pii/S1361920916308367; S5_Kramer_2016_inundated_roads: https://deltaexpertise.nl/images/f/f2/Kramer_2016_Safety_criteria_for_the_trafficability_of_inundated_roads_in_urban.pdf,high for variable choice; medium for transferable curve values
flood_depth,unpaved,Hydraulic flood-depth raster or DEM-derived depth product plus unpaved surface/drainage/soil class.,standing water depth combined with unpaved-road vulnerability modifier.,m,"event depth, duration, and post-event recovery",linear/convex fragility with stronger sensitivity than paved; closure probability during inundation,0.25 m damage/hazard-band onset; 0.30 m passenger-car closure/safety criterion; lower local thresholds may apply for washouts/low-water crossings.,1.5 m fragility upper calibration; >2.0 m extreme flood class; recovery saturation should be local.,road_closure_probability; damage_ratio_pct; speed_reduction_pct; recovery_days; vibration_index after reopening,Unpaved roads need road-type-specific fragility and a recovery delay; never apply paved-road fragility unchanged.,S1_Koks_2019_Nature: https://www.nature.com/articles/s41467-019-10442-3; S1b_Koks_2019_supplement: https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-019-10442-3/MediaObjects/41467_2019_10442_MOESM1_ESM.pdf; S4_Pregnolato_2017_flood_depth_disruption: https://www.sciencedirect.com/science/article/pii/S1361920916308367; S11_FAO_drainage_design: https://www.fao.org/4/t0099e/t0099e04.htm,medium; local calibration needed
flood_extent_binary_proxy,paved,"Copernicus GFM Observed Flood Extent, Maximum Flood Extent, likelihood values, exclusion mask.",flood_presence_on_edge or flooded_edge_fraction; optional likelihood-weighted closure probability.,"0/1, fraction, or 0–100 likelihood",satellite overpass/event composite; weekly aggregation only as event presence flag,probabilistic operational closure proxy; not a depth-damage curve,"GFM positive flood pixel intersecting road edge, preferably with likelihood and flooded fraction threshold.",edge fraction flooded >= local threshold or likelihood >=80; no physical depth saturation without depth data.,road_closure_probability; reliability_penalty; optional recovery_days,"Use only as binary/likelihood closure proxy. Do not compute damage_ratio_pct from extent without depth, duration and asset vulnerability.",S6_Copernicus_GFM_manual: https://extwiki.eodc.eu/gfm_assets/gfm4.0_pum_2025.pdf; S7_Betterle_2024_flood_depth_from_extent: https://nhess.copernicus.org/articles/24/2817/2024/,medium for closure flag; low for damage
flood_extent_binary_proxy,unpaved,Copernicus GFM Observed Flood Extent/likelihood plus unpaved surface class and drainage/soil mask.,flood_presence_on_edge with unpaved vulnerability and recovery multiplier.,"0/1, fraction, or 0–100 likelihood",event composite plus recovery window,probabilistic closure plus post-event degradation modifier,GFM positive flood pixel intersecting edge; use lower flooded-fraction threshold for low-water crossings if locally validated.,not defined physically without depth; use observed closures or depth-estimation product to calibrate.,road_closure_probability; recovery_days; vibration_index; damage_flag,Binary extent is useful for operational access but cannot replace flood-depth fragility. Unpaved recovery should persist after flood recedes.,S6_Copernicus_GFM_manual: https://extwiki.eodc.eu/gfm_assets/gfm4.0_pum_2025.pdf; S7_Betterle_2024_flood_depth_from_extent: https://nhess.copernicus.org/articles/24/2817/2024/; S11_FAO_drainage_design: https://www.fao.org/4/t0099e/t0099e04.htm,low-medium
heat_pavement,paved,ERA5-Land skin temperature or air temperature; ideally measured/modelled pavement surface temperature and asphalt binder PG.,pavement temperature proxy T_pavement_surface and heatwave duration.,°C,daily maximum and multi-day heatwave exposure,continuous cumulative degradation; no immediate binary closure threshold,45°C diagnostic onset if using pavement/skin temperature proxy; do not use as traffic-speed threshold.,"60–65°C severe rutting/softening risk proxy or local binder PG high-temperature limit; approximation, not universal.",damage_ratio_pct; rutting_risk_index; maintenance_cost_proxy; optional speed penalty only during work restrictions/incidents,"Heat affects paved roads through rutting, aging, material stiffness and service life, not automatic speed loss. Air temperature and skin/pavement temperature are not interchangeable.",S3_ERA5_Land: https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land; S10_FHWA_pavement_resilience: https://www.fhwa.dot.gov/pavement/concrete/pubs/hif23006.pdf,medium for process; low-medium for numeric proxy values
heat_dryness,unpaved,"ERA5-Land air/skin temperature, soil moisture, wind, surface type, traffic.","dry-hot roughness/dust index = f(T_max anomaly, low soil moisture, wind, traffic).",dimensionless index,multi-day to seasonal exposure,continuous degradation and dust activation modifier,local T_max P90 combined with soil moisture below P20; no universal heat-only threshold.,local T_max P99 plus soil moisture below P5 and/or observed high-dust periods.,vibration_index; speed_reduction_pct; maintenance_cost_proxy; dust_risk_modifier,"Heat alone should not close unpaved roads; it amplifies drying, dust, loose surface, shrink-swell and roughness.",S3_ERA5_Land: https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land; S10_FHWA_pavement_resilience: https://www.fhwa.dot.gov/pavement/concrete/pubs/hif23006.pdf; S11_FAO_drainage_design: https://www.fao.org/4/t0099e/t0099e04.htm,low-medium
wind_crosswind,paved,ERA5/ERA5-Land 10 m wind components; preferably gusts and road bearing/orientation; tree density for blockage.,crosswind_gust = gust * abs(sin(wind_direction - road_bearing)); optional treefall_blockage_index.,m/s,hourly/event gust; weekly maxima only for exposure screening,logistic operational restriction; separate treefall blockage threshold,20 m/s crosswind/gust as approximate high-sided-vehicle operational caution; must be local-road/vehicle calibrated.,30–35 m/s for severe operational restriction approximation; 42 m/s treefall/cleanup proxy from Koks/Virot only where trees are present.,speed_reduction_pct; capacity_reduction_pct; road_closure_probability; blockage_probability,"Use gust and road orientation, not scalar weekly mean. Wind is operational/obstruction hazard, not pavement damage.",S1_Koks_2019_Nature: https://www.nature.com/articles/s41467-019-10442-3; S3_ERA5_Land: https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land,low-medium; local operational standards recommended
wind_crosswind,unpaved,"ERA5/ERA5-Land gust/wind direction plus road bearing, bare-soil/dryness indicators, surface condition.",crosswind_gust plus wind_erosion_trigger when dry/loose surface is present.,m/s,hourly/event; dry-season cumulative modifier,hybrid: operational crosswind penalty plus dust/erosion trigger,20 m/s for crosswind operation; 4–10 m/s can trigger dust emission in desert/semi-arid surfaces when dry/loose.,30–35 m/s severe operational restriction approximation; dust severity handled by visibility/dust row.,speed_reduction_pct; reliability_penalty; dust_risk_modifier; vibration_index,"For Namibia-style arid roads, wind often matters via dust and loose surface before pure crosswind closure thresholds are reached.",S3_ERA5_Land: https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land; S13_UNEP_WMO_dust_assessment: https://wesr.unep.org/media/docs/assessments/global_assessment_of_sand_and_dust_stormsx.pdf; S14_UNDRR_dust_sandstorm_limits: https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0201,low-medium
