Kind,Crop / Product,roads?,Main mechanism,Main loss (what exactly happens),Secondary loss (what exactly happens),"Studied logistics period
(hours, days or kilometers)",Loss %,Study area LOCAL,Study area GLOBAL,Mechanism,Key Quantitative Finding / Parameter,Context / Notes,Reference With Verifiable DOI Links,Journal quantile,Article year
Mango,"Mango (“Kent”, Ethiopia)",Long transport without cold chain,Time–temperature deterioration,Firmness loss due to ripening and softening,Weight loss due to moisture loss; TSS decline due to sugar degradation,240 hours storage after transport,46–89% quality decay,Ethiopia,East Africa,First-order kinetic deterioration,Quality follows Qt = Q0 exp(-kt); temperature increases k,"First-order kinetic model for quality change: Qt=Q0exp⁡(−kt)Q_t = Q_0 \exp(-kt)Qt=Q0exp(−kt), with temperature dependence of k described by an Arrhenius-type relationship k=Aexp⁡(−Ea/RT)k = A \exp(-E_a / RT)k=Aexp(−Ea/RT). Used to parameterize time–temperature driven quality loss in tropical fruit. Synergistic effect between vibration and time delays.   Transport delays increase exposure time -- faster deterioration","Emire et al., “Kinetic Modeling of Quality Change in Ethiopian Kent Mango Stored Under Different Temperature.” In: Food Processing for Increased Quality and Consumption of Nutritious Food, Springer, 2020. http://dx.doi.org/10.1007/978-3-030-43690-2_6",N/A (Springer book chapter),2020
Tomato,Tomato (Simulated Transport Vibration and Storage),Road vibration during transport,vibration,mechanical damage,Increased respiration rate,Not Stated,Significant firmness loss,UAE ,Middle East,Vibration + Time–temperature,"Simulated transport vibration at transport-like frequencies significantly increases bruising and firmness loss; quality attributes (firmness, color, weight) show kinetic changes during subsequent storage at ≈22–25°C.","Vibration during transport causes immediate mechanical damage, which accelerates physiological deterioration during storage. Provides parameters linking vibration regime and storage time/temperature to loss of marketable quality for tomatoes. High-frequency vibration leads to increased respiration and faster decay.","Pathare & Al-Dairi et al., “Effect of Simulated Vibration and Storage on Quality of Tomato” (also cited as “Impact of vibration on the quality of tomato produced by simulated transport”). https://doi.org/10.3390/horticulturae7110417",Q1,2021
Banana,Banana (Long-Distance Road Transport),"rough, unpaved",vibration,mechanical damage,Accelerated respiration,Not Stated,20,Australia,Oceania,"Vibration (road condition, PSD)",Measurement and analysis of vibration and mechanical damage to bananas show that dominant vibration frequencies around 3–20 Hz on long routes are strongly associated with bruise damage; rough/unpaved roads generate higher vibration PSD and higher damage indices than smooth asphalt. Mechanical damage from multi-trailer road trains on uneven roads can exceed ≈20% of transported bananas.,"Vibration PSD on unsealed roads is 1.5–3x higher than paved roads, accelerating physiological decay. For rough roads, stress-induced respiration multiplies the effects of delays. The interaction of road quality and time delays is a key factor in banana loss.",“Measurement and analysis of vibration and mechanical damage to bananas.” Postharvest / logistics https://doi.org/10.1016/j.postharvbio.2019.110977,Q1,2019
Banana,Cooking Banana (Uganda Value Chain),Road quality + distance,Mechanical stress + time,Physical damage leading to spoilage,Stress respiration,Not Stated,Significant losses,Uganda,East Africa,Distance and Road Quality (Empirical),Postharvest losses in the cooking-banana chain are significantly associated with transport distance and road quality; total losses increase where roads are poor and travel times are longer.,"Empirical evidence linking road condition and travel distance directly to postharvest losses in Uganda. Longer transport durations and poor road conditions exacerbate damage, triggering accelerated spoilage at bruise sites from stress-induced respiration.","Kikulwe et al., “Postharvest losses in the cooking-banana value chain in Uganda.” Sustainability 10(7):2381, 2018. https://doi.org/10.3390/su10072381",Q2,2018
General,"Fresh Produce (General; Tomato, Leafy Vegetables)",Road roughness,vibration,mechanical damage,Microbial spoilage,Not Stated,20,Global review,Developing regions,Mechanical Damage During Transport,"Review reports that mechanical damage (bruising, scarring, compression) during postharvest transport can exceed ≈20% losses for fruits and vegetables in African and similar conditions; road surface, vehicle speed, and vibration spectra are major drivers.",Vibration and road quality play a large role in transport-related damage for tomatoes and leafy vegetables. Rough roads amplify damage and physiological decay. Support use of vibration multipliers and damage indices by road type. Time delays on rough roads lead to rapid microbial spoilage.,"Pathare et al., “Mechanical damage of fresh produce in postharvest transportation: Current status and future prospects.” Postharvest Biology and Technology, 2022. https://doi.org/10.1016/j.tifs.2022.04.018",Q1,2022
General,Highly Perishable Leafy Vegetables and Fruits (General),Time delay,Time–temperature exposure,Wilting due to moisture loss,Yellowing due to chlorophyll degradation,6 hours,5,Global review,Tropical systems,Time–temperature (Q₁₀ behavior),"For highly perishable leafy vegetables at ≈30°C, kinetic models and typical Q₁₀ values (≈2–3) indicate that a 6-hour delay can reduce remaining marketable shelf life by about 5–10%, depending on initial quality and packaging.",Based on standard postharvest physiology (Q₁₀ concept) and kinetic studies for tropical fruit and vegetables. Q₁₀ indicates that each +10°C doubles or triples the rate of quality loss. Time delays reduce marketable shelf life by 5-10% in tropical climates.,"Synthesis of kinetic and postharvest literature for perishable crops (drawing on mango and tomato kinetic studies and general postharvest physiology).  https://doi.org/10.1007/s10341-025-01273-2,  https://doi.org/10.3390/horticulturae7110417 &  https://doi.org/10.1111/jfpe.13808 ","Q2, Q1, Q2","2025, 2021, 2021"
Tomato,"Tomato (Egypt, simulated transport vibration)",Simulated vibration exposure,Mechanical vibration,Bruising damage,Weight loss and firmness decline,1.5 hours,20,Egypt,North Africa,Vibration frequency and duration,"Vibration frequency (5, 7.5, 10, 12.5, 15 Hz) and duration (30, 60, 90 min) significantly affect damage ratio, equivalent bruise index (EBI), bruise area index (BAI), weight loss and firmness; damage ratio reached 20.80% at 7.5 Hz; weight loss up to 5.06%; firmness down to 8.25 N.",Box position (top/middle/bottom) and vibration frequency × duration interaction effects are highly significant (p<0.05). Highest weight loss and lowest firmness at 7.5 Hz vibration frequency. Provides empirical vibration thresholds for tomato transport damage.,"Ghazal, A.F., El-Masry, A. and El-Habbak, M., Estimation of some postharvest losses in tomato during simulated transport process. Misr Journal of Agricultural Engineering, 34(4): 1183-1202, 2017. https://www.researchgate.net/publication/335988248_ESTIMATION_OF_SOME_POSTHARVEST_LOSSES_IN_TOMATO_DURING_SIMULATED_TRANSPORT_OPERATION https://10.21608/mjae.2017.97111 ",N/A,2017
Tomato,"Tomato (general, vibration + storage)",Road roughness,vibration,Bruising and compression damage,"firmness, weight, color",2 hours,Not directly expressed as % loss,Global review,Global,Vibration + storage temperature,"Weight loss, color and firmness changes follow zero‑order or first‑order kinetics after vibration stress (2.5 Hz for 2 hours); at 22°C storage, vibrated tomatoes showed higher ethylene (+124.13%) and CO₂ (+83.85%) than non‑vibrated; 10°C storage slowed changes.",Vibration at transport frequencies causes immediate damage that accelerates physiological changes during storage. Kinetic models fit well for vibrated vs control tomatoes.,"Pathare, P.B. et al. (2021). Effect of Simulated Vibration and Storage on Quality of Tomato. Horticulturae, 7(11), 417. https://doi.org/10.3390/horticulturae7110417",Q1,2021
Banana,Banana (general; transport vibration review),Rough roads increase vibration,vibration,mechanical damage,"respiration, ethylene, quality",Not Stated,Damage observed but % varies by condition,South East China,Asia,Transport vibration + postharvest physiology,"Truck transport vibration is a major cause of mechanical damage in bananas; leads to accelerated respiration, ethylene production and quality loss during subsequent storage; poor roads amplify effects.",Review of truck vibration effects on fruits including bananas: vibration causes wounds that trigger stress responses and faster spoilage.,"Wang, Y. et al., “Research progress on transport vibration damage and effects of fruits on its postharvest physiology characteristics and quality.” Journal of Food Science and Technology (China), 2023. http://dx.doi.org/10.13652/j.issn.1003-5788.2016.12.045 ",N/A,2023
Tomato,"Tomato, banana (Pakistan review)",Road roughness,"Poor handling, lack of cold chain, inadequate packaging, and transportation problems (no refrigeration, energy crisis, weak infrastructure); metabolic changes like respiration, transpiration, and ripening drive quality loss.","Physical deterioration, shriveling, over‑ripening, and quality loss of tomatoes and bananas during transport and storage; reduced marketable quality.","Economic loss to farmers and traders, reduced food availability, and nutritional waste; price discounts for downgraded produce.",24-72 hours,16,Pakistan,South Asia,General postharvest losses,Postharvest losses of tomato and bananas during transport and storage are significant; kinetic models explain biological variations; tomatoes 16–22% transport losses reported globally.,"Review covering tomato, banana and other produce; emphasises kinetic modelling for storage after transport damage.","Firdous, N. (2021). Post‑harvest losses in different fresh produces and vegetables in Pakistan with particular focus on tomatoes. Journal of Horticulture and Postharvest Research, 4(1), 71–86. https://www.cabidigitallibrary.org/doi/pdf/10.5555/20210062444 ",N/A,2021
