hazard_type,road_type,runnable_factor,direction,surface_scope,threshold_1,threshold_2,threshold_3,closure_threshold,units,current_use,status,raw_input,derived_variable,onset_value,saturation_value,source_reference,confidence_level
extreme_rainfall_operational,paved,era5_tp_1h_max_weekly_mm_per_h,gte,paved,6.35,20.0,30.0,,mm_per_hour,operational speed/capacity penalty only; not structural failure,runnable_with_hourly_intensity_factor,"CHIRPS daily precipitation, ERA5/IMERG/hourly precipitation if available; weekly CHIRPS only as antecedent wetness/context.","event rainfall intensity I_event; if only CHIRPS daily is available, use P_max_daily and an explicitly calibrated storm-duration proxy I_proxy=P_max_daily/tau_event.","6.35 mm/h for heavy-rain operational effect; mark as external operational threshold, not structural failure.",20–30 mm/h approximation for strong operational degradation; cap by local calibration unless flood depth is modeled.,S2_CHIRPS_daily: https://developers.google.com/earth-engine/datasets/catalog/UCSB-CHG_CHIRPS_DAILY; S8_Tsapakis_2013_weather_travel_time: https://www.sciencedirect.com/science/article/pii/S0966692312002694; S9_Chung_2012_weather_capacity: https://www.sciencedirect.com/science/article/abs/pii/S0967070X11001144,medium for operational speed/capacity; low for direct damage
extreme_rainfall_erosion,unpaved,unpaved_erosion_rainfall_weekly_local_percentile,gte,unpaved,75.0,90.0,99.0,,local_percentile_0_100,active low-confidence local rainfall-percentile proxy for unpaved erosion/surface-condition curve; no universal mm threshold,active_low_confidence_local_percentile_proxy,CHIRPS daily precipitation or hourly/event rainfall; road surface class; slope; soil/erodibility; drainage; traffic loading; antecedent soil moisture.,"unpaved erosion/impassability index = f(I_event or P_max_daily, slope, erodibility, drainage, traffic, soil moisture).",local P75–P90 event rainfall or any post-dry-season rainfall when surface is loose; no universal hard threshold.,local P99–P99.9 event rainfall or observed washout/closure events; do not hard-code 3–10 mm event thresholds without field validation.,S2_CHIRPS_daily: https://developers.google.com/earth-engine/datasets/catalog/UCSB-CHG_CHIRPS_DAILY; S11_FAO_drainage_design: https://www.fao.org/4/t0099e/t0099e04.htm; S12_FAO_protective_measures: https://www.fao.org/4/T0099E/T0099e01.htm; S15_Unpaved_road_erosion_2024: https://bioone.org/journals/air-soil-and-water-research/volume-17/issue-1/11786221241272396/Erosion-Mechanisms-in-Unpaved-Roads--Effects-of-Slope-Rainfall/10.1177/11786221241272396.full,low-medium; requires local calibration
flood_depth,paved,flood_depth_weekly_max_m,gte,paved,0.25,0.3,1.5,0.3,m,active if true flood-depth raster/model is present; no GFM extent substitution,runnable_if_depth_factor_present,Hydraulic flood-depth raster or DEM-derived depth product; GFM flood extent alone is not sufficient for this row.,standing water depth on/around road segment.,operational speed penalty can begin with shallow water; use 0.25 m as direct-damage/hazard-band onset from Koks hazard classes; 0.30 m as passenger-car closure/safety criterion if adopted.,1.5 m is the upper calibration range in Koks Supplementary Fig. 2 fragility curves; >2.0 m is extreme flood class.,S1_Koks_2019_Nature: https://www.nature.com/articles/s41467-019-10442-3; S1b_Koks_2019_supplement: https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-019-10442-3/MediaObjects/41467_2019_10442_MOESM1_ESM.pdf; S4_Pregnolato_2017_flood_depth_disruption: https://www.sciencedirect.com/science/article/pii/S1361920916308367; S5_Kramer_2016_inundated_roads: https://deltaexpertise.nl/images/f/f2/Kramer_2016_Safety_criteria_for_the_trafficability_of_inundated_roads_in_urban.pdf,high for variable choice; medium for transferable curve values
flood_depth,unpaved,flood_depth_weekly_max_m,gte,unpaved,0.25,0.3,1.5,0.3,m,active if true flood-depth raster/model is present; no GFM extent substitution; unpaved effect curve is stronger,runnable_if_depth_factor_present,Hydraulic flood-depth raster or DEM-derived depth product plus unpaved surface/drainage/soil class.,standing water depth combined with unpaved-road vulnerability modifier.,0.25 m damage/hazard-band onset; 0.30 m passenger-car closure/safety criterion; lower local thresholds may apply for washouts/low-water crossings.,1.5 m fragility upper calibration; >2.0 m extreme flood class; recovery saturation should be local.,S1_Koks_2019_Nature: https://www.nature.com/articles/s41467-019-10442-3; S1b_Koks_2019_supplement: https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-019-10442-3/MediaObjects/41467_2019_10442_MOESM1_ESM.pdf; S4_Pregnolato_2017_flood_depth_disruption: https://www.sciencedirect.com/science/article/pii/S1361920916308367; S11_FAO_drainage_design: https://www.fao.org/4/t0099e/t0099e04.htm,medium; local calibration needed
flood_extent_binary_proxy,paved,flood_weekly,gte,paved,,,,1.0,binary_or_likelihood,binary operational closure proxy only; no depth damage,runnable_binary_proxy_if_gfm_present,"Copernicus GFM Observed Flood Extent, Maximum Flood Extent, likelihood values, exclusion mask.",flood_presence_on_edge or flooded_edge_fraction; optional likelihood-weighted closure probability.,"GFM positive flood pixel intersecting road edge, preferably with likelihood and flooded fraction threshold.",edge fraction flooded >= local threshold or likelihood >=80; no physical depth saturation without depth data.,S6_Copernicus_GFM_manual: https://extwiki.eodc.eu/gfm_assets/gfm4.0_pum_2025.pdf; S7_Betterle_2024_flood_depth_from_extent: https://nhess.copernicus.org/articles/24/2817/2024/,medium for closure flag; low for damage
flood_extent_binary_proxy,unpaved,flood_weekly,gte,unpaved,,,,1.0,binary_or_likelihood,binary operational closure proxy plus recovery/degradation; no depth damage,runnable_binary_proxy_if_gfm_present,Copernicus GFM Observed Flood Extent/likelihood plus unpaved surface class and drainage/soil mask.,flood_presence_on_edge with unpaved vulnerability and recovery multiplier.,GFM positive flood pixel intersecting edge; use lower flooded-fraction threshold for low-water crossings if locally validated.,not defined physically without depth; use observed closures or depth-estimation product to calibrate.,S6_Copernicus_GFM_manual: https://extwiki.eodc.eu/gfm_assets/gfm4.0_pum_2025.pdf; S7_Betterle_2024_flood_depth_from_extent: https://nhess.copernicus.org/articles/24/2817/2024/; S11_FAO_drainage_design: https://www.fao.org/4/t0099e/t0099e04.htm,low-medium
heat_pavement,paved,pavement_surface_temperature_weekly_max_c,gte,paved,45.0,60.0,65.0,,celsius,active diagnostic damage/context curve from ERA5 skin-temperature proxy; not traffic-speed routing without pavement model validation,active_diagnostic_damage_curve_not_routing_speed,ERA5-Land skin temperature or air temperature; ideally measured/modelled pavement surface temperature and asphalt binder PG.,pavement temperature proxy T_pavement_surface and heatwave duration.,45°C diagnostic onset if using pavement/skin temperature proxy; do not use as traffic-speed threshold.,"60–65°C severe rutting/softening risk proxy or local binder PG high-temperature limit; approximation, not universal.",S3_ERA5_Land: https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land; S10_FHWA_pavement_resilience: https://www.fhwa.dot.gov/pavement/concrete/pubs/hif23006.pdf,medium for process; low-medium for numeric proxy values
heat_dryness,unpaved,,gte,unpaved,,,,,local percentile dryness index,inactive until local T/soil-moisture/wind/traffic index exists,inactive_needs_local_index,"ERA5-Land air/skin temperature, soil moisture, wind, surface type, traffic.","dry-hot roughness/dust index = f(T_max anomaly, low soil moisture, wind, traffic).",local T_max P90 combined with soil moisture below P20; no universal heat-only threshold.,local T_max P99 plus soil moisture below P5 and/or observed high-dust periods.,S3_ERA5_Land: https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land; S10_FHWA_pavement_resilience: https://www.fhwa.dot.gov/pavement/concrete/pubs/hif23006.pdf; S11_FAO_drainage_design: https://www.fao.org/4/t0099e/t0099e04.htm,low-medium
wind_crosswind,paved,era5_crosswind_10m_weekly_max_m_s,gte,paved,20.0,30.0,35.0,,m_per_s,active operational speed curve; no pavement damage,active_operational_speed_curve,ERA5/ERA5-Land 10 m wind components; preferably gusts and road bearing/orientation; tree density for blockage.,crosswind_gust = gust * abs(sin(wind_direction - road_bearing)); optional treefall_blockage_index.,20 m/s crosswind/gust as approximate high-sided-vehicle operational caution; must be local-road/vehicle calibrated.,30–35 m/s for severe operational restriction approximation; 42 m/s treefall/cleanup proxy from Koks/Virot only where trees are present.,S1_Koks_2019_Nature: https://www.nature.com/articles/s41467-019-10442-3; S3_ERA5_Land: https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land,low-medium; local operational standards recommended
wind_crosswind,unpaved,era5_crosswind_10m_weekly_max_m_s,gte,unpaved,20.0,30.0,35.0,,m_per_s,active operational speed curve; dust handled by visibility row,active_operational_speed_curve,"ERA5/ERA5-Land gust/wind direction plus road bearing, bare-soil/dryness indicators, surface condition.",crosswind_gust plus wind_erosion_trigger when dry/loose surface is present.,20 m/s for crosswind operation; 4–10 m/s can trigger dust emission in desert/semi-arid surfaces when dry/loose.,30–35 m/s severe operational restriction approximation; dust severity handled by visibility/dust row.,S3_ERA5_Land: https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land; S13_UNEP_WMO_dust_assessment: https://wesr.unep.org/media/docs/assessments/global_assessment_of_sand_and_dust_stormsx.pdf; S14_UNDRR_dust_sandstorm_limits: https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0201,low-medium
