hazard,surface,road_mechanism,dataset,factor,threshold_metric,source_cadence,daily_aggregation,weekly_aggregation,units,direction,condition_factor,condition_operator,condition_value,speed_loss_onset,damage_onset,closure_failure_1,closure_failure_2,baseline_threshold,additional_threshold,road_impact,how_to_use,current_status
Flood depth,both,standing water -> speed loss / impassability,flood_depth_model_or_depth_raster,flood_depth_weekly_max_m,maximum road water depth inside each weekly window,event_or_daily,max,max,m,gte,,,,0.01,0.10,0.30,0.60,"speed-loss onset: 10 mm; damage onset: 0.10 m; closure: 0.30 m cars / 0.60 m emergency vehicles","0.3 m small vehicles impassable; >=0.5 m total closure / instability","loss of control; closure; subgrade damage","Direct use. This is the strongest road variable.",needs_exact_depth_dataset
Extreme rainfall,paved,wet-road speed / drainage stress,era5_or_source_native_precipitation_rate,era5_max_total_precip_rate_weekly_mm_per_h,maximum rainfall intensity inside each weekly window,hourly,max,max,mm_per_hour,gte,,,,6.35,20.0,,," >6.35 mm/h -> speed -4-7%; capacity -10-17%; drainage stress around 20 mm/h","50-100 mm/day can trigger road failures / washouts","pavement erosion; culvert overtopping; bridge stress","Use PDF values for speed. Use daily 50-100 mm/day values as a separate failure/washout scenario.",needs_rate_factor_or_use_hourly_increment_proxy
Extreme rainfall failure scenario,paved,daily rainfall -> failures / washouts,era5_land_hourly_total_precipitation,era5_tp_daily_sum_weekly_max_mm,maximum daily rainfall total inside each weekly window,hourly,sum_hourly_increments,max,mm_per_day,gte,,,,50.0,75.0,100.0,,"daily rainfall failure/washout scenario, not short-term speed curve","50-100 mm/day can trigger road failures / washouts","washouts; culvert overtopping; bridge stress","Use only as separate daily failure/washout scenario, not as the PDF speed curve.",runnable_after_overlay_regeneration
Extreme rainfall,unpaved,runoff -> softening -> erosion,era5_land_hourly_total_precipitation,era5_tp_1h_max_weekly_mm_per_h,maximum one-hour rainfall intensity inside each weekly window,hourly,max,max,mm_per_hour,gte,,,,5.0,10.0,134.0,207.7,"runoff starts at ~5 mm/h or 3-6 mm event; erosion proxy >10 mm event; severe erosion domain 134-207.7 mm/h","50-100 mm/day road failures / washouts","washouts; erosion; loss of passability","Use as left-shifted rainfall curve vs paved roads.",runnable_existing_overlay_factor
Extreme rainfall failure scenario,unpaved,daily rainfall -> failures / washouts,era5_land_hourly_total_precipitation,era5_tp_daily_sum_weekly_max_mm,maximum daily rainfall total inside each weekly window,hourly,sum_hourly_increments,max,mm_per_day,gte,,,,50.0,75.0,100.0,,"daily rainfall failure/washout scenario, not short-term erosion-intensity curve","50-100 mm/day road failures / washouts","washouts; erosion; loss of passability","Use only as separate daily failure/washout scenario, not as the hourly unpaved erosion curve.",runnable_after_overlay_regeneration
Landslide rainfall,both,rainfall-triggered slope failure -> blockage,chirps_daily_precipitation_plus_nasa_landslide_susceptibility,chirps_24h_max_weekly_mm,maximum daily 24h rainfall total inside each weekly window,daily,source_daily_total,max,mm_per_24h,gte,landslide_susceptibility,gte,3.0,140.0,250.0,300.0,,"140 mm/24h onset; 250 mm/24h damage; 300 mm/24h collapse/debris flow","30-100 mm/24h can trigger shallow landslides in tropical regions with saturated soils","road blockage; embankment collapse; erosion damage","Use only on susceptible slopes. Additional CSV value is a broader / more conservative trigger band.",runnable_if_susceptibility_present
Landslide conservative trigger,both,saturated-soil shallow landslide warning,chirps_daily_precipitation_plus_nasa_landslide_susceptibility,chirps_24h_max_weekly_mm,maximum daily 24h rainfall total inside each weekly window,daily,source_daily_total,max,mm_per_24h,gte,landslide_susceptibility,gte,3.0,30.0,100.0,,,"broader tropical shallow-landslide trigger band, not collapse threshold","30-100 mm/24h can trigger shallow landslides in tropical regions with saturated soils","road blockage; embankment collapse; erosion damage","Use as warning / conservative trigger only on susceptible saturated slopes.",reference_only_conservative_band
Extreme heat,paved,pavement temperature -> binder softening / rutting,pavement_temperature_model,pavement_surface_temperature_weekly_max_c,maximum pavement/asphalt temperature inside each weekly window,hourly_or_daily,max,max,celsius,gte,,,,45.0,50.0,60.0,70.0,"monitoring 45-50 C; rutting accelerates >50 C; severe rutting 60-70 C","surface degradation >40 C; asphalt binder degradation 45-50 C","bleeding; rutting; cracking; shortened pavement life","Use pavement-surface temperature, not air temperature. Additional CSV gives earlier warning band.",needs_pavement_temperature_factor
Extreme heat warning,paved,early surface degradation warning,pavement_temperature_model,pavement_surface_temperature_weekly_max_c,maximum pavement/asphalt temperature inside each weekly window,hourly_or_daily,max,max,celsius,gte,,,,40.0,45.0,50.0,,"early warning band, not audited failure threshold","surface degradation >40 C; asphalt binder degradation 45-50 C","bleeding; rutting; cracking; shortened pavement life","Use as diagnostic warning band before the main pavement-temperature curve.",reference_only_warning_band
Drought,paved,soil suction / shrink-swell -> cracking,soil_water_retention_model,matric_suction_weekly_max_kpa,maximum matric suction inside each weekly window,daily_or_monthly,max,max,kpa,gte,expansive_subgrade_mask,eq,1,700.0,1500.0,2000.0,2500.0,"~700 kPa onset proxy; 1500 kPa cracking; 2000-2500 kPa serviceability failure","SPI <= -2 severe drought -> soil shrinkage risk","cracking; settlement; shoulder failures","PDF is material/soil variable. CSV is climate-index proxy. Needs soil map.",needs_suction_and_expansive_soil_factor
